medida,data
0.01,16/09/2023 14:24:51
0.05,16/09/2023 14:24:52
0.07,16/09/2023 14:24:53
0.07,16/09/2023 14:24:54
0.07,16/09/2023 14:24:55
0.06,16/09/2023 14:24:56
0.07,16/09/2023 14:24:57
0.07,16/09/2023 14:24:58
0.07,16/09/2023 14:24:59
0.06,16/09/2023 14:25:00
0.07,16/09/2023 14:25:01
0.07,16/09/2023 14:25:02
0.06,16/09/2023 14:25:03
0.07,16/09/2023 14:25:04
0.07,16/09/2023 14:25:05
0.07,16/09/2023 14:25:06
0.07,16/09/2023 14:25:07
0.07,16/09/2023 14:25:08
0.07,16/09/2023 14:25:09
0.07,16/09/2023 14:25:10
0.07,16/09/2023 14:25:11
0.07,16/09/2023 14:25:12
0.07,16/09/2023 14:25:13
0.07,16/09/2023 14:25:14
0.07,16/09/2023 14:25:15
0.07,16/09/2023 14:25:16
0.07,16/09/2023 14:25:17
0.07,16/09/2023 14:25:18
0.07,16/09/2023 14:25:19
0.07,16/09/2023 14:25:20
0.07,16/09/2023 14:25:21
0.07,16/09/2023 14:25:22
0.07,16/09/2023 14:25:23
0.07,16/09/2023 14:25:24
0.07,16/09/2023 14:25:25
0.07,16/09/2023 14:25:27
0.07,16/09/2023 14:25:28
0.07,16/09/2023 14:25:29
0.06,16/09/2023 14:25:30
0.02,16/09/2023 14:25:31
0.01,16/09/2023 14:25:41
0.05,16/09/2023 14:25:42
0.05,16/09/2023 14:25:43
0.06,16/09/2023 14:25:44
0.06,16/09/2023 14:25:45
0.06,16/09/2023 14:25:46
0.06,16/09/2023 14:25:47
0.06,16/09/2023 14:25:48
0.06,16/09/2023 14:25:49
0.05,16/09/2023 14:25:50
0.02,16/09/2023 14:25:51
0.01,16/09/2023 14:35:51
0.04,16/09/2023 14:35:52
0.05,16/09/2023 14:35:53
0.06,16/09/2023 14:35:54
0.06,16/09/2023 14:35:55
0.06,16/09/2023 14:35:56
0.06,16/09/2023 14:35:57
0.06,16/09/2023 14:35:58
0.06,16/09/2023 14:35:59
0.06,16/09/2023 14:36:00
0.06,16/09/2023 14:36:01
0.06,16/09/2023 14:36:02
0.06,16/09/2023 14:36:03
0.06,16/09/2023 14:36:04
0.06,16/09/2023 14:36:05
0.06,16/09/2023 14:36:06
0.06,16/09/2023 14:36:07
0.06,16/09/2023 14:36:08
0.06,16/09/2023 14:36:09
0.06,16/09/2023 14:36:10
0.06,16/09/2023 14:36:11
0.06,16/09/2023 14:36:12
0.06,16/09/2023 14:36:13
0.06,16/09/2023 14:36:14
0.06,16/09/2023 14:36:15
0.06,16/09/2023 14:36:16
0.06,16/09/2023 14:36:17
0.06,16/09/2023 14:36:18
0.06,16/09/2023 14:36:19
0.06,16/09/2023 14:36:21
0.06,16/09/2023 14:36:22
0.06,16/09/2023 14:36:23
0.06,16/09/2023 14:36:24
0.06,16/09/2023 14:36:25
0.06,16/09/2023 14:36:26
0.06,16/09/2023 14:36:27
0.06,16/09/2023 14:36:28
0.06,16/09/2023 14:36:29
0.06,16/09/2023 14:36:30
0.06,16/09/2023 14:36:31
0.06,16/09/2023 14:36:32
0.06,16/09/2023 14:36:33
0.06,16/09/2023 14:36:34
0.06,16/09/2023 14:36:35
0.06,16/09/2023 14:36:36
0.06,16/09/2023 14:36:37
0.06,16/09/2023 14:36:38
0.06,16/09/2023 14:36:39
0.06,16/09/2023 14:36:40
0.06,16/09/2023 14:36:41
0.06,16/09/2023 14:36:42
0.06,16/09/2023 14:36:43
0.06,16/09/2023 14:36:44
0.06,16/09/2023 14:36:45
0.06,16/09/2023 14:36:46
0.06,16/09/2023 14:36:47
0.06,16/09/2023 14:36:48
0.06,16/09/2023 14:36:49
0.06,16/09/2023 14:36:50
0.06,16/09/2023 14:36:51
0.03,16/09/2023 14:36:52
0.02,16/09/2023 14:37:32
0.03,16/09/2023 14:37:33
0.03,16/09/2023 14:37:34
0.03,16/09/2023 14:37:35
0.03,16/09/2023 14:37:36
0.02,16/09/2023 14:37:37
0.03,16/09/2023 14:37:38
0.02,16/09/2023 14:37:39
0.03,16/09/2023 14:37:40
0.02,16/09/2023 14:37:41
0.03,16/09/2023 14:37:42
0.03,16/09/2023 14:37:43
0.03,16/09/2023 14:37:45
0.03,16/09/2023 14:37:46
0.03,16/09/2023 14:37:47
0.03,16/09/2023 14:37:48
0.03,16/09/2023 14:37:49
0.03,16/09/2023 14:37:50
0.03,16/09/2023 14:37:51
0.03,16/09/2023 14:37:52
0.03,16/09/2023 14:37:53
0.03,16/09/2023 14:37:54
0.01,16/09/2023 14:37:55
0.01,16/09/2023 14:48:27
0.04,16/09/2023 14:48:28
0.04,16/09/2023 14:48:29
0.07,16/09/2023 14:48:30
0.08,16/09/2023 14:48:31
0.08,16/09/2023 14:48:32
0.07,16/09/2023 14:48:33
0.08,16/09/2023 14:48:34
0.08,16/09/2023 14:48:35
0.08,16/09/2023 14:48:36
0.08,16/09/2023 14:48:37
0.08,16/09/2023 14:48:38
0.08,16/09/2023 14:48:39
0.08,16/09/2023 14:48:41
0.08,16/09/2023 14:48:42
0.08,16/09/2023 14:48:43
0.08,16/09/2023 14:48:44
0.07,16/09/2023 14:48:45
0.05,16/09/2023 14:48:46
0.01,16/09/2023 14:51:10
0.05,16/09/2023 14:51:11
0.07,16/09/2023 14:51:12
0.07,16/09/2023 14:51:13
0.07,16/09/2023 14:51:14
0.07,16/09/2023 14:51:15
0.07,16/09/2023 14:51:16
0.07,16/09/2023 14:51:17
0.07,16/09/2023 14:51:18
0.07,16/09/2023 14:51:19
0.07,16/09/2023 14:51:20
0.07,16/09/2023 14:51:21
0.07,16/09/2023 14:51:22
0.07,16/09/2023 14:51:23
0.07,16/09/2023 14:51:24
0.07,16/09/2023 14:51:25
0.07,16/09/2023 14:51:26
0.07,16/09/2023 14:51:27
0.07,16/09/2023 14:51:28
0.07,16/09/2023 14:51:29
0.07,16/09/2023 14:51:30
0.07,16/09/2023 14:51:31
0.07,16/09/2023 14:51:32
0.07,16/09/2023 14:51:33
0.07,16/09/2023 14:51:34
0.07,16/09/2023 14:51:35
0.07,16/09/2023 14:51:36
0.07,16/09/2023 14:51:37
0.07,16/09/2023 14:51:38
0.07,16/09/2023 14:51:39
0.07,16/09/2023 14:51:40
0.04,16/09/2023 14:51:41
0.06,16/09/2023 15:11:02
0.06,16/09/2023 15:11:02
0.07,16/09/2023 15:11:03
0.07,16/09/2023 15:11:03
0.07,16/09/2023 15:11:04
0.07,16/09/2023 15:11:04
0.07,16/09/2023 15:11:05
0.07,16/09/2023 15:11:05
0.07,16/09/2023 15:11:06
0.07,16/09/2023 15:11:07
0.07,16/09/2023 15:11:08
0.07,16/09/2023 15:11:10
0.07,16/09/2023 15:11:11
0.07,16/09/2023 15:11:12
0.07,16/09/2023 15:11:13
0.07,16/09/2023 15:11:13
0.07,16/09/2023 15:11:14
0.07,16/09/2023 15:11:14
0.07,16/09/2023 15:11:15
0.07,16/09/2023 15:11:15
0.07,16/09/2023 15:11:16
0.07,16/09/2023 15:11:16
0.07,16/09/2023 15:11:17
0.07,16/09/2023 15:11:17
0.07,16/09/2023 15:11:18
0.07,16/09/2023 15:11:18
0.07,16/09/2023 15:11:19
0.07,16/09/2023 15:11:19
0.07,16/09/2023 15:11:20
0.07,16/09/2023 15:11:20
0.07,16/09/2023 15:11:21
0.07,16/09/2023 15:11:21
0.07,16/09/2023 15:11:22
0.07,16/09/2023 15:11:22
0.07,16/09/2023 15:11:23
0.07,16/09/2023 15:11:23
0.07,16/09/2023 15:11:24
0.07,16/09/2023 15:11:24
0.08,16/09/2023 15:11:25
0.08,16/09/2023 15:11:25
0.07,16/09/2023 15:11:26
0.07,16/09/2023 15:11:26
0.07,16/09/2023 15:11:27
0.07,16/09/2023 15:11:27
0.08,16/09/2023 15:11:28
0.08,16/09/2023 15:11:28
0.07,16/09/2023 15:11:29
0.07,16/09/2023 15:11:29
0.08,16/09/2023 15:11:30
0.08,16/09/2023 15:11:30
0.08,16/09/2023 15:11:31
0.08,16/09/2023 15:11:31
0.08,16/09/2023 15:11:32
0.08,16/09/2023 15:11:32
0.07,16/09/2023 15:11:33
0.07,16/09/2023 15:11:33
0.08,16/09/2023 15:11:34
0.08,16/09/2023 15:11:34
0.08,16/09/2023 15:11:36
0.08,16/09/2023 15:11:36
0.08,16/09/2023 15:11:37
0.08,16/09/2023 15:11:37
0.08,16/09/2023 15:11:38
0.08,16/09/2023 15:11:38
0.08,16/09/2023 15:11:39
0.08,16/09/2023 15:11:39
0.08,16/09/2023 15:11:40
0.08,16/09/2023 15:11:40
0.08,16/09/2023 15:11:41
0.08,16/09/2023 15:11:41
0.08,16/09/2023 15:11:42
0.08,16/09/2023 15:11:42
0.08,16/09/2023 15:11:43
0.08,16/09/2023 15:11:43
0.08,16/09/2023 15:11:44
0.08,16/09/2023 15:11:45
0.08,16/09/2023 15:11:45
0.08,16/09/2023 15:11:46
0.08,16/09/2023 15:11:46
0.08,16/09/2023 15:11:47
0.08,16/09/2023 15:11:47
0.08,16/09/2023 15:11:48
0.08,16/09/2023 15:11:49
0.08,16/09/2023 15:11:49
0.08,16/09/2023 15:11:50
0.08,16/09/2023 15:11:50
0.08,16/09/2023 15:11:51
0.08,16/09/2023 15:11:51
0.08,16/09/2023 15:11:52
0.08,16/09/2023 15:11:52
0.08,16/09/2023 15:11:53
0.08,16/09/2023 15:11:53
0.08,16/09/2023 15:11:54
0.08,16/09/2023 15:11:54
0.08,16/09/2023 15:11:55
0.08,16/09/2023 15:11:55
0.08,16/09/2023 15:11:56
0.08,16/09/2023 15:11:56
0.08,16/09/2023 15:11:57
0.08,16/09/2023 15:11:57
0.08,16/09/2023 15:11:58
0.08,16/09/2023 15:11:58
0.08,16/09/2023 15:11:59
0.08,16/09/2023 15:12:00
0.08,16/09/2023 15:12:00
0.08,16/09/2023 15:12:01
0.08,16/09/2023 15:12:01
0.08,16/09/2023 15:12:02
0.08,16/09/2023 15:12:02
0.08,16/09/2023 15:12:03
0.08,16/09/2023 15:12:03
0.08,16/09/2023 15:12:04
0.08,16/09/2023 15:12:04
0.08,16/09/2023 15:12:05
0.08,16/09/2023 15:12:05
0.08,16/09/2023 15:12:06
0.08,16/09/2023 15:12:06
0.08,16/09/2023 15:12:07
0.08,16/09/2023 15:12:07
0.08,16/09/2023 15:12:08
0.08,16/09/2023 15:12:08
0.08,16/09/2023 15:12:09
0.08,16/09/2023 15:12:09
0.08,16/09/2023 15:12:10
0.08,16/09/2023 15:12:10
0.08,16/09/2023 15:12:11
0.08,16/09/2023 15:12:11
0.08,16/09/2023 15:12:12
0.08,16/09/2023 15:12:12
0.08,16/09/2023 15:12:13
0.08,16/09/2023 15:12:13
0.08,16/09/2023 15:12:14
0.08,16/09/2023 15:12:14
0.08,16/09/2023 15:12:15
0.08,16/09/2023 15:12:15
0.08,16/09/2023 15:12:16
0.08,16/09/2023 15:12:16
0.08,16/09/2023 15:12:17
0.08,16/09/2023 15:12:17
0.08,16/09/2023 15:12:18
0.06,16/09/2023 15:12:18
0.06,16/09/2023 15:12:19
0.01,16/09/2023 15:12:19
0.01,16/09/2023 15:12:20
0.01,12/10/2023 13:47:40
0.01,12/10/2023 13:47:41
0.01,12/10/2023 13:47:42
0.01,12/10/2023 13:47:43
0.01,12/10/2023 13:47:44
0.01,12/10/2023 13:47:45
0.01,12/10/2023 13:47:46
0.01,12/10/2023 13:47:47
0.01,12/10/2023 13:47:48
0.01,12/10/2023 13:47:49
0.01,12/10/2023 13:47:50
0.01,12/10/2023 13:47:40
0.01,12/10/2023 13:47:40
0.01,12/10/2023 13:47:40
0.01,12/10/2023 13:47:40
0.01,12/10/2023 13:47:40
0.01,12/10/2023 13:47:40
0.01,12/10/2023 13:47:40
0.01,12/10/2023 13:47:40
0.01,12/10/2023 13:47:40
0.01,12/10/2023 13:47:40
0.01,12/10/2023 13:47:40
0.01,12/10/2023 13:47:40
0.01,12/10/2023 13:47:40
0.01,12/10/2023 13:47:40
0.01,12/10/2023 13:47:40
0.01,12/10/2023 13:47:40
0.01,12/10/2023 13:47:40
0.01,12/10/2023 13:47:40
0.01,12/10/2023 13:47:40
0.26,25/10/2023 12:56:19
0.26,25/10/2023 12:56:19
0.07,25/10/2023 12:56:23
1.97,25/10/2023 12:56:55
0.01,25/10/2023 13:02:34
0.01,25/10/2023 13:02:34
0.05,25/10/2023 13:02:35
0.05,25/10/2023 13:02:35
0.05,25/10/2023 13:02:36
0.05,25/10/2023 13:02:36
0.06,25/10/2023 13:02:37
0.06,25/10/2023 13:02:37
0.07,25/10/2023 13:02:38
0.07,25/10/2023 13:02:38
0.07,25/10/2023 13:02:39
0.07,25/10/2023 13:02:39
0.06,25/10/2023 13:02:40
0.06,25/10/2023 13:02:40
0.07,25/10/2023 13:02:41
0.07,25/10/2023 13:02:41
0.07,25/10/2023 13:02:42
0.07,25/10/2023 13:02:42
0.07,25/10/2023 13:02:43
0.07,25/10/2023 13:02:43
0.07,25/10/2023 13:02:44
0.07,25/10/2023 13:02:44
0.07,25/10/2023 13:02:45
0.07,25/10/2023 13:02:45
0.07,25/10/2023 13:02:46
0.07,25/10/2023 13:02:46
0.07,25/10/2023 13:02:48
0.07,25/10/2023 13:02:48
0.07,25/10/2023 13:02:49
0.07,25/10/2023 13:02:49
0.07,25/10/2023 13:02:50
0.07,25/10/2023 13:02:51
0.07,25/10/2023 13:02:52
0.07,25/10/2023 13:02:53
0.07,25/10/2023 13:02:53
0.07,25/10/2023 13:02:54
0.07,25/10/2023 13:02:54
0.07,25/10/2023 13:02:55
0.07,25/10/2023 13:02:55
0.07,25/10/2023 13:02:56
0.07,25/10/2023 13:02:56
0.07,25/10/2023 13:02:57
0.07,25/10/2023 13:02:57
0.07,25/10/2023 13:02:58
0.07,25/10/2023 13:02:58
0.07,25/10/2023 13:02:59
0.07,25/10/2023 13:02:59
0.07,25/10/2023 13:03:00
0.07,25/10/2023 13:03:00
0.07,25/10/2023 13:03:01
0.07,25/10/2023 13:03:01
0.07,25/10/2023 13:03:02
0.07,25/10/2023 13:03:02
0.07,25/10/2023 13:03:03
0.07,25/10/2023 13:03:03
0.07,25/10/2023 13:03:04
0.07,25/10/2023 13:03:04
0.07,25/10/2023 13:03:05
0.07,25/10/2023 13:03:05
0.07,25/10/2023 13:03:06
0.07,25/10/2023 13:03:06
0.07,25/10/2023 13:03:07
0.07,25/10/2023 13:03:07
0.07,25/10/2023 13:03:08
0.07,25/10/2023 13:03:08
0.08,25/10/2023 13:03:09
0.08,25/10/2023 13:03:09
0.07,25/10/2023 13:03:10
0.07,25/10/2023 13:03:10
0.07,25/10/2023 13:03:11
0.07,25/10/2023 13:03:11
0.07,25/10/2023 13:03:12
0.07,25/10/2023 13:03:12
0.07,25/10/2023 13:03:13
0.07,25/10/2023 13:03:13
0.07,25/10/2023 13:03:14
0.07,25/10/2023 13:03:14
0.07,25/10/2023 13:03:15
0.07,25/10/2023 13:03:15
0.07,25/10/2023 13:03:16
0.07,25/10/2023 13:03:16
0.07,25/10/2023 13:03:17
0.07,25/10/2023 13:03:17
0.07,25/10/2023 13:03:18
0.07,25/10/2023 13:03:18
0.07,25/10/2023 13:03:19
0.07,25/10/2023 13:03:19
0.08,25/10/2023 13:03:20
0.08,25/10/2023 13:03:20
0.07,25/10/2023 13:03:21
0.07,25/10/2023 13:03:21
0.07,25/10/2023 13:03:22
0.07,25/10/2023 13:03:22
0.07,25/10/2023 13:03:23
0.07,25/10/2023 13:03:23
0.07,25/10/2023 13:03:24
0.07,25/10/2023 13:03:25
0.07,25/10/2023 13:03:25
0.07,25/10/2023 13:03:26
0.07,25/10/2023 13:03:27
0.07,25/10/2023 13:03:27
0.07,25/10/2023 13:03:28
0.07,25/10/2023 13:03:28
0.07,25/10/2023 13:03:29
0.07,25/10/2023 13:03:29
0.08,25/10/2023 13:03:30
0.08,25/10/2023 13:03:30
0.07,25/10/2023 13:03:31
0.07,25/10/2023 13:03:31
0.07,25/10/2023 13:03:32
0.07,25/10/2023 13:03:32
0.07,25/10/2023 13:03:33
0.07,25/10/2023 13:03:33
0.07,25/10/2023 13:03:34
0.07,25/10/2023 13:03:34
0.07,25/10/2023 13:03:35
0.07,25/10/2023 13:03:35
0.07,25/10/2023 13:03:36
0.07,25/10/2023 13:03:36
0.07,25/10/2023 13:03:37
0.07,25/10/2023 13:03:37
0.07,25/10/2023 13:03:38
0.07,25/10/2023 13:03:38
0.07,25/10/2023 13:03:39
0.07,25/10/2023 13:03:39
0.07,25/10/2023 13:03:40
0.07,25/10/2023 13:03:40
0.07,25/10/2023 13:03:41
0.07,25/10/2023 13:03:42
0.07,25/10/2023 13:03:42
0.07,25/10/2023 13:03:43
0.07,25/10/2023 13:03:43
0.07,25/10/2023 13:03:44
0.07,25/10/2023 13:03:44
0.07,25/10/2023 13:03:45
0.07,25/10/2023 13:03:45
0.07,25/10/2023 13:03:46
0.07,25/10/2023 13:03:46
0.07,25/10/2023 13:03:47
0.07,25/10/2023 13:03:47
0.07,25/10/2023 13:03:48
0.07,25/10/2023 13:03:48
0.07,25/10/2023 13:03:49
0.07,25/10/2023 13:03:49
0.07,25/10/2023 13:03:50
0.07,25/10/2023 13:03:50
0.07,25/10/2023 13:03:51
0.07,25/10/2023 13:03:51
0.07,25/10/2023 13:03:52
0.07,25/10/2023 13:03:52
0.07,25/10/2023 13:03:53
0.07,25/10/2023 13:03:53
0.07,25/10/2023 13:03:54
0.07,25/10/2023 13:03:54
0.07,25/10/2023 13:03:55
0.07,25/10/2023 13:03:55
0.07,25/10/2023 13:03:56
0.07,25/10/2023 13:03:56
0.07,25/10/2023 13:03:57
0.07,25/10/2023 13:03:57
0.07,25/10/2023 13:03:58
0.07,25/10/2023 13:03:58
0.07,25/10/2023 13:03:59
0.07,25/10/2023 13:03:59
0.07,25/10/2023 13:04:00
0.07,25/10/2023 13:04:00
0.07,25/10/2023 13:04:01
0.07,25/10/2023 13:04:01
0.07,25/10/2023 13:04:02
0.07,25/10/2023 13:04:02
0.08,25/10/2023 13:04:03
0.08,25/10/2023 13:04:03
0.07,25/10/2023 13:04:04
0.07,25/10/2023 13:04:04
0.07,25/10/2023 13:04:05
0.07,25/10/2023 13:04:05
0.07,25/10/2023 13:04:06
0.07,25/10/2023 13:04:06
0.07,25/10/2023 13:04:07
0.07,25/10/2023 13:04:07
0.07,25/10/2023 13:04:08
0.07,25/10/2023 13:04:08
0.07,25/10/2023 13:04:09
0.07,25/10/2023 13:04:09
0.07,25/10/2023 13:04:10
0.07,25/10/2023 13:04:10
0.07,25/10/2023 13:04:11
0.07,25/10/2023 13:04:11
0.07,25/10/2023 13:04:12
0.07,25/10/2023 13:04:12
0.07,25/10/2023 13:04:13
0.07,25/10/2023 13:04:13
0.07,25/10/2023 13:04:14
0.07,25/10/2023 13:04:14
0.07,25/10/2023 13:04:15
0.07,25/10/2023 13:04:15
0.07,25/10/2023 13:04:16
0.07,25/10/2023 13:04:16
0.07,25/10/2023 13:04:20
0.07,25/10/2023 13:04:20
0.07,25/10/2023 13:04:21
0.07,25/10/2023 13:04:21
0.07,25/10/2023 13:04:22
0.07,25/10/2023 13:04:22
0.07,25/10/2023 13:04:23
0.07,25/10/2023 13:04:23
0.07,25/10/2023 13:04:24
0.07,25/10/2023 13:04:25
0.07,25/10/2023 13:04:26
0.07,25/10/2023 13:04:27
0.07,25/10/2023 13:04:28
0.07,25/10/2023 13:04:28
0.07,25/10/2023 13:04:29
0.07,25/10/2023 13:04:29
0.07,25/10/2023 13:04:30
0.07,25/10/2023 13:04:30
0.07,25/10/2023 13:04:31
0.07,25/10/2023 13:04:31
0.07,25/10/2023 13:04:32
0.07,25/10/2023 13:04:32
0.07,25/10/2023 13:04:33
0.07,25/10/2023 13:04:33
0.07,25/10/2023 13:04:34
0.07,25/10/2023 13:04:34
0.07,25/10/2023 13:04:35
0.07,25/10/2023 13:04:35
0.07,25/10/2023 13:04:36
0.07,25/10/2023 13:04:36
0.07,25/10/2023 13:04:37
0.07,25/10/2023 13:04:37
0.07,25/10/2023 13:04:38
0.07,25/10/2023 13:04:38
0.11,25/10/2023 13:04:39
0.11,25/10/2023 13:04:39
0.14,25/10/2023 13:04:40
0.14,25/10/2023 13:04:40
0.15,25/10/2023 13:04:41
0.15,25/10/2023 13:04:41
0.15,25/10/2023 13:04:42
0.15,25/10/2023 13:04:42
0.15,25/10/2023 13:04:44
0.15,25/10/2023 13:04:44
0.15,25/10/2023 13:04:45
0.15,25/10/2023 13:04:45
0.15,25/10/2023 13:04:46
0.15,25/10/2023 13:04:46
0.13,25/10/2023 13:04:47
0.13,25/10/2023 13:04:47
0.13,25/10/2023 13:04:48
0.13,25/10/2023 13:04:48
0.14,25/10/2023 13:04:49
0.14,25/10/2023 13:04:49
0.14,25/10/2023 13:04:50
0.14,25/10/2023 13:04:50
0.14,25/10/2023 13:04:51
0.14,25/10/2023 13:04:51
0.14,25/10/2023 13:04:52
0.14,25/10/2023 13:04:52
0.14,25/10/2023 13:04:53
0.12,25/10/2023 13:04:54
0.12,25/10/2023 13:04:54
0.04,25/10/2023 13:04:55
0.04,25/10/2023 13:04:55
0.01,26/10/2023 13:00:11
0.04,26/10/2023 13:00:12
0.04,26/10/2023 13:00:12
0.05,26/10/2023 13:00:13
0.05,26/10/2023 13:00:13
0.05,26/10/2023 13:00:14
0.05,26/10/2023 13:00:14
0.05,26/10/2023 13:00:15
0.05,26/10/2023 13:00:15
0.05,26/10/2023 13:00:16
0.05,26/10/2023 13:00:16
0.05,26/10/2023 13:00:17
0.05,26/10/2023 13:00:17
0.05,26/10/2023 13:00:18
0.05,26/10/2023 13:00:18
0.05,26/10/2023 13:00:19
0.05,26/10/2023 13:00:20
0.05,26/10/2023 13:00:21
0.05,26/10/2023 13:00:22
0.05,26/10/2023 13:00:23
0.05,26/10/2023 13:00:23
0.05,26/10/2023 13:00:25
0.05,26/10/2023 13:00:26
0.05,26/10/2023 13:00:27
0.05,26/10/2023 13:00:27
0.05,26/10/2023 13:00:28
0.05,26/10/2023 13:00:29
0.05,26/10/2023 13:00:30
0.05,26/10/2023 13:00:31
0.05,26/10/2023 13:00:32
0.05,26/10/2023 13:00:33
0.05,26/10/2023 13:00:33
0.05,26/10/2023 13:00:34
0.05,26/10/2023 13:00:34
0.05,26/10/2023 13:00:35
0.05,26/10/2023 13:00:35
0.05,26/10/2023 13:00:36
0.05,26/10/2023 13:00:36
0.05,26/10/2023 13:00:37
0.05,26/10/2023 13:00:37
0.05,26/10/2023 13:00:38
0.05,26/10/2023 13:00:38
0.05,26/10/2023 13:00:39
0.05,26/10/2023 13:00:39
0.05,26/10/2023 13:00:40
0.05,26/10/2023 13:00:40
0.05,26/10/2023 13:00:41
0.05,26/10/2023 13:00:41
0.04,26/10/2023 13:00:42
0.04,26/10/2023 13:00:42
0.05,26/10/2023 13:00:43
0.05,26/10/2023 13:00:43
0.05,26/10/2023 13:00:44
0.05,26/10/2023 13:00:44
0.05,26/10/2023 13:00:45
0.05,26/10/2023 13:00:45
0.05,26/10/2023 13:00:46
0.05,26/10/2023 13:00:46
0.05,26/10/2023 13:00:47
0.05,26/10/2023 13:00:47
0.05,26/10/2023 13:00:48
0.05,26/10/2023 13:00:48
0.05,26/10/2023 13:00:49
0.05,26/10/2023 13:00:49
0.05,26/10/2023 13:00:50
0.05,26/10/2023 13:00:50
0.05,26/10/2023 13:00:51
0.05,26/10/2023 13:00:51
0.04,26/10/2023 13:00:52
0.05,26/10/2023 13:00:53
0.04,26/10/2023 13:00:54
0.04,26/10/2023 13:00:54
0.05,26/10/2023 13:00:55
0.05,26/10/2023 13:00:55
0.05,26/10/2023 13:00:56
0.05,26/10/2023 13:00:56
0.04,26/10/2023 13:00:57
0.04,26/10/2023 13:00:57
0.04,26/10/2023 13:00:58
0.04,26/10/2023 13:00:59
0.04,26/10/2023 13:00:59
0.03,26/10/2023 13:01:00
0.03,26/10/2023 13:01:00
0.03,26/10/2023 13:01:01
0.03,26/10/2023 13:01:01
0.02,26/10/2023 13:01:02
0.02,26/10/2023 13:01:02
0.02,26/10/2023 13:01:03
0.02,26/10/2023 13:01:03
0.02,26/10/2023 13:01:04
0.02,26/10/2023 13:01:04
0.02,26/10/2023 13:01:05
0.02,26/10/2023 13:01:05
0.01,26/10/2023 13:01:06
0.01,26/10/2023 13:01:06
0.01,27/10/2023 11:58:01
0.03,27/10/2023 11:58:02
0.03,27/10/2023 11:58:02
0.03,27/10/2023 11:58:03
0.03,27/10/2023 11:58:04
0.03,27/10/2023 11:58:04
0.03,27/10/2023 11:58:05
0.03,27/10/2023 11:58:05
0.02,27/10/2023 11:58:06
0.02,27/10/2023 11:58:06
0.02,27/10/2023 11:58:07
0.02,27/10/2023 11:58:09
0.02,27/10/2023 11:58:09
0.02,27/10/2023 11:58:10
0.02,27/10/2023 11:58:10
0.03,27/10/2023 11:58:11
0.03,27/10/2023 11:58:12
0.03,27/10/2023 11:58:13
0.03,27/10/2023 11:58:13
0.03,27/10/2023 11:58:14
0.03,27/10/2023 11:58:15
0.03,27/10/2023 11:58:16
0.03,27/10/2023 11:58:16
0.03,27/10/2023 11:58:17
0.03,27/10/2023 11:58:18
0.02,27/10/2023 11:58:19
0.02,27/10/2023 11:58:19
0.02,27/10/2023 11:58:20
0.02,27/10/2023 11:58:21
0.02,27/10/2023 11:58:22
0.02,27/10/2023 11:58:22
0.03,27/10/2023 11:58:23
0.07,27/10/2023 11:58:24
0.08,27/10/2023 11:58:25
0.08,27/10/2023 11:58:25
0.10,27/10/2023 11:58:26
0.12,27/10/2023 11:58:27
0.12,27/10/2023 11:58:27
0.12,27/10/2023 11:58:28
0.13,27/10/2023 11:58:29
0.12,27/10/2023 11:58:30
0.13,27/10/2023 11:58:31
0.13,27/10/2023 11:58:32
0.13,27/10/2023 11:58:33
0.11,27/10/2023 11:58:34
0.11,27/10/2023 11:58:34
0.07,27/10/2023 11:58:35
0.07,27/10/2023 11:58:36
0.06,27/10/2023 11:58:37
0.06,27/10/2023 11:58:37
0.05,27/10/2023 11:58:38
0.05,27/10/2023 11:58:38
0.03,27/10/2023 11:58:39
0.03,27/10/2023 11:58:39
0.01,27/10/2023 11:58:40
0.01,27/10/2023 11:58:40
0.01,27/10/2023 11:58:41
0.02,27/10/2023 11:58:42
0.02,27/10/2023 11:58:43
0.02,27/10/2023 11:58:44
0.02,27/10/2023 11:58:45
0.02,27/10/2023 11:58:45
